State,Start Time,End Time,Factory,Line,Good Glove,Produced Glove,Empty Link,Cuff TR,No beading ,Palm TR,Unstripped,No glove ,Functional,Others
Line Stopped,2021-11-24_19:57:40,2021-11-24_19:58:17,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-11-24_19:58:17,2021-11-24_19:58:56,F32,11,0,0,0,0,0,0,0,0,0,0
Line Stopped,2021-11-24_19:58:56,2021-11-24_20:00:00,F32,11,0,0,0,0,0,0,0,0,0,0
Line Stopped,2021-11-24_20:00:00,2021-11-24_20:05:15,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-11-24_20:05:15,2021-11-24_20:07:54,F32,11,0,0,0,0,0,0,0,0,0,0
Line Stopped,2021-11-24_20:07:54,2021-11-24_20:18:32,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-11-24_20:18:32,2021-11-24_20:20:06,F32,11,0,0,0,0,0,0,0,0,0,0
Line Stopped,2021-11-24_20:20:06,2021-11-24_20:27:36,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-11-24_20:27:36,2021-11-24_20:28:05,F32,11,0,0,0,0,0,0,0,0,0,0
Line Stopped,2021-11-24_20:28:05,2021-11-24_20:28:27,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-11-24_20:28:27,2021-11-24_20:28:42,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-11-24_20:28:42,2021-11-24_20:30:56,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-11-24_20:30:56,2021-11-24_20:31:02,F32,11,0,171,24,0,0,0,34,137,0,0
Bypassing,2021-11-24_20:31:02,2021-11-24_20:32:04,F32,11,0,0,0,0,0,0,0,0,0,0
Line Stopped,2021-11-24_20:32:04,2021-11-24_20:38:21,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-11-24_20:38:21,2021-11-24_20:38:38,F32,11,0,0,0,0,0,0,0,0,0,0
Line Stopped,2021-11-24_20:38:38,2021-11-24_20:43:19,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-11-24_20:43:19,2021-11-24_20:44:46,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-11-24_20:44:46,2021-11-24_20:44:53,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-11-24_20:44:53,2021-11-24_20:45:02,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-11-24_20:45:02,2021-11-24_20:45:07,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-11-24_20:45:07,2021-11-24_20:46:23,F32,11,0,0,0,0,0,0,0,0,0,0
Line Stopped,2021-11-24_20:46:23,2021-11-24_20:49:03,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-11-24_20:49:03,2021-11-24_20:49:30,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-11-24_20:49:30,2021-11-24_20:49:36,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-11-24_20:49:36,2021-11-24_20:52:32,F32,11,0,0,0,0,0,0,0,0,0,0
Line Stopped,2021-11-24_20:52:32,2021-11-24_20:56:49,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-11-24_20:56:49,2021-11-24_20:58:26,F32,11,0,0,0,0,0,0,0,0,0,0
Line Stopped,2021-11-24_20:58:26,2021-11-24_21:00:00,F32,11,0,0,0,0,0,0,0,0,0,0
Line Stopped,2021-11-24_21:00:00,2021-11-24_21:10:05,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-11-24_21:10:05,2021-11-24_21:10:51,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-11-24_21:10:51,2021-11-24_21:10:56,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-11-24_21:10:56,2021-11-24_21:14:16,F32,11,0,0,0,0,0,0,0,0,0,0
Line Stopped,2021-11-24_21:14:16,2021-11-24_21:16:15,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-11-24_21:16:15,2021-11-24_21:19:34,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-11-24_21:19:34,2021-11-24_21:19:37,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-11-24_21:19:37,2021-11-24_21:21:49,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-11-24_21:21:49,2021-11-24_21:21:53,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-11-24_21:21:53,2021-11-24_21:23:29,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-11-24_21:23:29,2021-11-24_21:23:32,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-11-24_21:23:32,2021-11-24_21:23:55,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-11-24_21:23:55,2021-11-24_21:23:59,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-11-24_21:23:59,2021-11-24_21:24:31,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-11-24_21:24:31,2021-11-24_21:24:34,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-11-24_21:24:34,2021-11-24_21:24:41,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-11-24_21:24:41,2021-11-24_21:24:54,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-11-24_21:24:54,2021-11-24_21:24:58,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-11-24_21:24:58,2021-11-24_21:25:00,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-11-24_21:25:00,2021-11-24_21:25:09,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-11-24_21:25:09,2021-11-24_21:25:12,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-11-24_21:25:12,2021-11-24_21:26:33,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-11-24_21:26:33,2021-11-24_21:26:36,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-11-24_21:26:36,2021-11-24_21:26:54,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-11-24_21:26:54,2021-11-24_21:26:59,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-11-24_21:26:59,2021-11-24_21:28:22,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-11-24_21:28:22,2021-11-24_21:28:26,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-11-24_21:28:26,2021-11-24_21:28:32,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-11-24_21:28:32,2021-11-24_21:28:37,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-11-24_21:28:37,2021-11-24_21:29:26,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-11-24_21:29:26,2021-11-24_21:29:28,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-11-24_21:29:28,2021-11-24_21:29:52,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-11-24_21:29:52,2021-11-24_21:29:57,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-11-24_21:29:57,2021-11-24_21:30:03,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-11-24_21:30:03,2021-11-24_21:30:06,F32,11,0,0,0,0,0,0,0,0,0,0
