State,Start Time,End Time,Factory,Line,Good Glove,Produced Glove,Empty Link,Cuff TR,No beading ,Palm TR,Unstripped,No glove ,Functional,Others
Running,2022-02-03_04:00:00,2022-02-03_05:00:00,F32,11,27611,27972,248,19,1,44,140,38,7,112
Running,2022-02-03_05:00:00,2022-02-03_06:00:00,F32,11,27588,27957,222,20,2,45,153,30,3,116
Running,2022-02-03_06:00:00,2022-02-03_07:00:00,F32,11,27507,27980,231,33,4,45,218,35,5,133
Running,2022-02-03_07:00:00,2022-02-03_08:00:00,F32,11,27436,27924,232,23,5,50,211,59,2,138
Running,2022-02-03_08:00:00,2022-02-03_08:20:34,F32,11,9430,9596,94,2,0,4,86,18,1,55
Running,2022-02-03_08:20:59,2022-02-03_09:00:00,F32,11,17964,18197,122,6,0,3,109,54,3,58
Running,2022-02-03_09:00:00,2022-02-03_10:00:00,F32,11,27686,27959,233,13,0,7,128,35,3,87
Running,2022-02-03_10:00:00,2022-02-03_11:00:00,F32,11,27682,27976,256,11,2,4,143,33,6,95
Running,2022-02-03_11:00:00,2022-02-03_12:00:00,F32,11,27606,28015,178,16,1,5,187,111,5,84
Running,2022-02-03_12:00:00,2022-02-03_13:00:00,F32,11,27709,28058,173,17,1,9,208,27,4,83
Running,2022-02-03_13:00:00,2022-02-03_14:00:00,F32,11,27649,28025,208,14,1,11,220,28,2,100
Running,2022-02-03_14:00:00,2022-02-03_15:00:00,F32,11,27638,28001,215,13,0,9,215,32,6,88
Running,2022-02-03_15:00:00,2022-02-03_16:00:00,F32,11,27619,27967,224,13,1,10,205,40,1,78
Running,2022-02-03_16:00:00,2022-02-03_17:00:00,F32,11,27647,27949,244,14,0,8,161,39,2,78
Running,2022-02-03_17:00:00,2022-02-03_18:00:00,F32,11,27691,27954,236,16,1,6,143,37,3,57
Running,2022-02-03_18:00:00,2022-02-03_19:00:00,F32,11,27723,27993,230,16,0,5,145,34,6,64
Running,2022-02-03_19:00:00,2022-02-03_20:00:00,F32,11,27732,27988,240,9,0,6,140,34,2,65
Running,2022-02-03_20:00:00,2022-02-03_21:00:00,F32,11,27713,27957,225,15,0,4,143,19,2,61
Running,2022-02-03_21:00:00,2022-02-03_22:00:00,F32,11,27758,27972,228,17,0,5,91,19,3,79
Running,2022-02-03_22:00:00,2022-02-03_23:00:00,F32,11,27780,27992,236,19,0,2,89,18,3,81
Running,2022-02-03_23:00:00,2022-02-04_00:00:00,F32,11,27721,27946,240,23,1,3,123,16,4,55
Running,2022-02-04_00:00:00,2022-02-04_01:00:00,F32,11,27667,27972,248,17,0,12,193,18,3,62
Running,2022-02-04_01:00:00,2022-02-04_02:00:00,F32,11,27668,27957,223,17,0,8,179,17,6,62
