State,Start Time,End Time,Factory,Line,Good Glove,Produced Glove,Empty Link,Cuff TR,No beading ,Palm TR,Unstripped,No glove ,Functional,Others
Bypassing,2021-12-01_04:44:02,2021-12-01_04:44:03,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-12-01_04:44:03,2021-12-01_04:44:10,F32,11,0,88,5,0,0,0,25,63,0,0
Bypassing,2021-12-01_04:44:10,2021-12-01_04:44:15,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-12-01_04:44:15,2021-12-01_04:44:18,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-12-01_04:44:18,2021-12-01_04:44:19,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-12-01_04:44:19,2021-12-01_04:44:23,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-12-01_04:44:23,2021-12-01_04:44:34,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-12-01_04:44:34,2021-12-01_04:44:40,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-12-01_04:44:40,2021-12-01_04:45:01,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-12-01_04:45:01,2021-12-01_04:45:07,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-12-01_04:45:07,2021-12-01_04:45:17,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-12-01_04:45:17,2021-12-01_04:45:24,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-12-01_04:45:24,2021-12-01_04:45:30,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-12-01_04:45:30,2021-12-01_04:45:35,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-12-01_04:45:35,2021-12-01_04:45:42,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-12-01_04:45:42,2021-12-01_04:45:45,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-12-01_04:45:45,2021-12-01_04:45:46,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-12-01_04:45:46,2021-12-01_04:45:50,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-12-01_04:45:50,2021-12-01_04:45:53,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-12-01_04:45:53,2021-12-01_04:45:57,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-12-01_04:45:57,2021-12-01_04:46:00,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-12-01_04:46:00,2021-12-01_05:00:00,F32,11,6250,6796,186,12,4,3,228,83,0,216
Running,2021-12-01_05:00:00,2021-12-01_06:00:00,F32,11,28361,29634,926,46,9,15,105,19,3,1076
Running,2021-12-01_06:00:00,2021-12-01_07:00:00,F32,11,28161,29342,818,43,15,25,142,30,7,919
Running,2021-12-01_07:00:00,2021-12-01_08:00:00,F32,11,28301,29667,893,18,14,18,150,42,6,1118
Running,2021-12-01_08:00:00,2021-12-01_09:00:00,F32,11,28320,29666,894,24,18,21,118,54,7,1104
Running,2021-12-01_09:00:00,2021-12-01_09:04:30,F32,11,2122,2211,67,0,2,2,5,3,0,77
Running,2021-12-01_09:10:13,2021-12-01_09:11:45,F32,11,666,710,50,1,0,1,2,1,1,38
Running,2021-12-01_09:32:39,2021-12-01_10:00:00,F32,11,13063,13461,348,20,5,3,81,31,3,255
Running,2021-12-01_10:00:00,2021-12-01_10:26:26,F32,11,12942,13226,193,18,7,9,64,17,3,166
Running,2021-12-01_13:47:38,2021-12-01_14:00:00,F32,11,6075,6208,73,6,2,6,53,11,2,53
Running,2021-12-01_14:00:00,2021-12-01_15:00:00,F32,11,29473,30193,367,28,12,25,243,56,4,352
Running,2021-12-01_15:00:00,2021-12-01_16:00:00,F32,11,29537,30176,384,26,13,19,226,45,6,304
Running,2021-12-01_16:00:00,2021-12-01_17:00:00,F32,11,29395,30132,428,34,15,35,270,51,5,327
Running,2021-12-01_17:00:00,2021-12-01_18:00:00,F32,11,29358,30098,467,27,11,31,261,53,6,351
Running,2021-12-01_18:00:00,2021-12-01_19:00:00,F32,11,29340,30121,448,27,11,38,268,97,4,336
Running,2021-12-01_19:00:00,2021-12-01_20:00:00,F32,11,29545,30091,443,17,6,18,144,29,7,325
Running,2021-12-01_20:00:00,2021-12-01_21:00:00,F32,11,29487,30104,465,27,12,18,137,29,8,386
Running,2021-12-01_21:00:00,2021-12-01_22:00:00,F32,11,29464,30113,451,45,17,16,108,36,3,424
Running,2021-12-01_22:00:00,2021-12-01_23:00:00,F32,11,29462,30139,452,62,15,24,162,17,10,387
Running,2021-12-01_23:00:00,2021-12-02_00:00:00,F32,11,29311,30029,507,47,8,32,151,13,7,460
Running,2021-12-02_00:00:00,2021-12-02_01:00:00,F32,11,29266,30036,512,72,11,25,218,23,10,411
Running,2021-12-02_01:00:00,2021-12-02_02:00:00,F32,11,29306,30070,503,106,17,16,165,17,7,436
Running,2021-12-02_02:00:00,2021-12-02_03:00:00,F32,11,29316,30091,492,32,13,20,207,19,3,481
Running,2021-12-02_03:00:00,2021-12-02_04:00:00,F32,11,29320,30030,510,33,13,31,158,13,7,455
Running,2021-12-02_04:00:00,2021-12-02_05:00:00,F32,11,29360,30099,482,43,13,23,174,9,10,467
Running,2021-12-02_05:00:00,2021-12-02_06:00:00,F32,11,29408,30079,480,32,12,23,170,12,7,415
Running,2021-12-02_06:00:00,2021-12-02_07:00:00,F32,11,29468,30111,466,28,15,27,137,18,4,414
Running,2021-12-02_07:00:00,2021-12-02_08:00:00,F32,11,29410,30059,477,28,10,20,118,27,4,442
Running,2021-12-02_08:00:00,2021-12-02_08:42:00,F32,11,20579,21073,333,7,14,10,88,21,3,351
Running,2021-12-02_09:58:18,2021-12-02_10:00:00,F32,11,802,818,22,3,1,0,2,4,3,3
Running,2021-12-02_10:00:00,2021-12-02_11:00:00,F32,11,29680,30141,418,61,20,1,60,96,25,198
Running,2021-12-02_11:00:00,2021-12-02_12:00:00,F32,11,29675,30111,449,30,25,4,57,111,3,206
Running,2021-12-02_12:00:00,2021-12-02_13:00:00,F32,11,29651,30111,449,32,21,1,48,109,6,243
Running,2021-12-02_13:00:00,2021-12-02_14:00:00,F32,11,29682,30132,428,27,29,1,42,134,5,212
Running,2021-12-02_14:00:00,2021-12-02_15:00:00,F32,11,29619,30119,425,36,20,3,40,229,9,163
Running,2021-12-02_15:00:00,2021-12-02_16:00:00,F32,11,29695,30129,447,50,43,0,71,99,10,161
Running,2021-12-02_16:00:00,2021-12-02_17:00:00,F32,11,29740,30145,425,61,46,2,52,81,5,158
Running,2021-12-02_17:00:00,2021-12-02_18:00:00,F32,11,29807,30165,416,19,19,0,45,82,10,183
Running,2021-12-02_18:00:00,2021-12-02_19:00:00,F32,11,29885,30158,373,28,10,3,35,77,6,114
Running,2021-12-02_19:00:00,2021-12-02_20:00:00,F32,11,29841,30196,384,33,18,0,51,126,7,120
Running,2021-12-02_20:00:00,2021-12-02_21:00:00,F32,11,29868,30157,379,25,20,1,53,89,8,93
Running,2021-12-02_21:00:00,2021-12-02_22:00:00,F32,11,30226,30618,435,37,29,2,61,118,9,136
Running,2021-12-02_22:00:00,2021-12-02_23:00:00,F32,11,30846,31639,489,203,39,0,50,295,9,197
Running,2021-12-02_23:00:00,2021-12-03_00:00:00,F32,11,31047,31678,470,149,25,6,59,218,8,166
Running,2021-12-03_00:00:00,2021-12-03_01:00:00,F32,11,31500,32715,659,75,24,3,404,336,7,366
Running,2021-12-03_01:00:00,2021-12-03_01:21:48,F32,11,11226,11455,229,20,6,2,48,46,3,104
Bypassing,2021-12-03_01:21:48,2021-12-03_01:33:12,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-12-03_01:33:12,2021-12-03_02:00:00,F32,11,14240,14591,301,24,11,0,49,104,3,160
Running,2021-12-03_02:00:00,2021-12-03_03:00:00,F32,11,32423,33034,657,43,20,2,79,133,3,331
