State,Start Time,End Time,Factory,Line,Good Glove,Produced Glove,Empty Link,Cuff TR,No beading ,Palm TR,Unstripped,No glove ,Functional,Others
Running,2022-05-03_06:00:00,2022-05-03_07:00:00,F32,11,28517,28885,98,88,6,6,172,63,6,27
Running,2022-05-03_07:00:00,2022-05-03_08:00:00,F32,11,28507,28890,94,101,12,2,184,41,3,40
Running,2022-05-03_08:00:00,2022-05-03_09:00:00,F32,11,28422,28882,95,136,10,3,204,52,2,53
Running,2022-05-03_09:00:00,2022-05-03_10:00:00,F32,11,28537,28873,86,138,7,6,113,31,5,36
Running,2022-05-03_10:00:00,2022-05-03_11:00:00,F32,11,28513,28886,100,187,9,4,92,39,1,41
Running,2022-05-03_11:00:00,2022-05-03_12:00:00,F32,11,28508,28883,93,126,14,2,138,32,3,60
Running,2022-05-03_12:00:00,2022-05-03_13:00:00,F32,11,28513,28894,97,134,4,2,157,33,4,47
Running,2022-05-03_13:00:00,2022-05-03_14:00:00,F32,11,28334,28872,104,120,4,8,294,76,2,34
Running,2022-05-03_14:00:00,2022-05-03_15:00:00,F32,11,28349,28873,110,148,4,8,239,78,7,40
Running,2022-05-03_15:00:00,2022-05-03_16:00:00,F32,11,28212,28620,97,142,0,3,177,40,8,38
Running,2022-05-03_16:00:00,2022-05-03_17:00:00,F32,11,28498,28873,108,131,0,4,158,44,0,38
Running,2022-05-03_17:00:00,2022-05-03_18:00:00,F32,11,28543,28891,97,118,3,4,136,38,3,46
Running,2022-05-03_18:00:00,2022-05-03_19:00:00,F32,11,28510,28895,88,122,9,5,121,53,2,73
Running,2022-05-03_19:00:00,2022-05-03_20:00:00,F32,11,28526,28877,108,134,6,1,117,43,2,48
Running,2022-05-03_20:00:00,2022-05-03_21:00:00,F32,11,28507,28878,106,195,5,6,82,34,2,47
Running,2022-05-03_21:00:00,2022-05-03_22:00:00,F32,11,28334,28634,91,134,4,3,83,41,0,35
Running,2022-05-03_22:00:00,2022-05-03_23:00:00,F32,11,28551,28880,102,174,3,2,84,35,3,28
