Start Time,End Time,Factory,Line,Good Glove,Produced Glove,Empty Link,Cuff TR,No beading ,Palm TR,Unstripped,No glove ,Functional,Others
2021-12-30_10:25:54,2021-12-30_10:27:02,F32,11,585,595,4,4,0,0,2,0,0,4
2021-12-30_10:28:51,2021-12-30_10:32:14,F32,11,1784,1811,24,7,0,0,10,1,0,9
2021-12-30_10:34:04,2021-12-30_16:01:20,F32,11,174873,178339,1156,799,30,11,710,220,15,1681
2021-12-30_16:08:00,2021-12-30_16:35:45,F32,11,14791,15115,88,71,1,1,54,14,0,183
2021-12-30_16:36:02,2021-12-30_18:13:14,F32,11,51953,52988,315,202,4,1,193,69,4,562
2021-12-30_18:45:29,2021-12-30_18:47:32,F32,11,1075,1095,9,3,1,0,2,2,0,12
2021-12-30_19:05:26,2022-01-03_11:37:55,F32,11,2357305,2583017,135560,10726,14779,83331,42253,35188,166,39269
2022-01-03_11:38:18,2022-01-03_14:14:09,F32,11,72124,72702,475,58,6,2,286,59,10,157
2022-01-03_14:15:13,2022-01-03_16:19:15,F32,11,57552,57999,384,51,7,4,215,31,5,134
2022-01-03_16:24:52,2022-01-03_17:15:31,F32,11,24475,24639,161,17,2,1,75,7,1,61
2022-01-03_17:15:49,2022-01-05_09:51:22,F32,11,1125944,1140157,8043,1109,97,62,4148,5894,131,2772
2022-01-05_09:52:25,2022-01-05_09:53:03,F32,11,275,283,0,1,0,0,5,2,0,0
2022-01-05_09:54:52,2022-01-05_11:40:32,F32,11,48464,49011,370,62,4,4,298,110,7,62
2022-01-05_11:42:32,2022-01-05_11:42:48,F32,11,103,104,0,0,0,0,1,0,0,0
2022-01-05_11:59:50,2022-01-05_12:16:49,F32,11,7569,7704,36,6,1,4,107,4,3,10
2022-01-05_12:17:19,2022-01-05_12:21:27,F32,11,1731,1749,12,2,1,0,8,2,0,5
2022-01-05_12:21:47,2022-01-05_12:22:08,F32,11,140,142,2,0,1,0,1,0,0,0
2022-01-05_12:22:30,2022-01-05_13:57:51,F32,11,44027,44507,296,43,1,9,349,23,3,52
2022-01-05_14:01:31,2022-01-05_14:20:22,F32,11,8694,8771,72,9,0,0,50,6,1,11
2022-01-05_14:34:21,2022-01-05_14:34:52,F32,11,237,239,4,0,0,0,1,0,0,1
2022-01-05_14:35:54,2022-01-05_14:43:07,F32,11,3331,3350,36,5,0,1,9,0,0,4
2022-01-05_18:16:00,2022-01-05_18:20:44,F32,11,2165,2188,15,0,0,0,17,2,0,4
2022-01-05_18:21:04,2022-01-05_18:21:48,F32,11,317,319,4,0,0,0,1,0,0,1
2022-01-05_18:22:04,2022-01-05_18:23:31,F32,11,633,636,8,0,0,0,2,0,1,0
2022-01-05_18:24:28,2022-01-06_10:04:51,F32,11,378485,381734,2694,269,13,24,1812,239,49,843
2022-01-06_11:10:22,2022-01-06_11:24:10,F32,11,7605,7660,63,7,0,8,25,10,0,5
2022-01-06_11:24:57,2022-01-06_13:54:20,F32,11,82817,83320,563,93,2,16,168,107,13,104
2022-01-06_13:54:56,2022-01-06_15:49:35,F32,11,63324,63896,468,89,5,10,119,186,16,147
2022-01-06_17:09:57,2022-01-06_17:15:19,F32,11,2969,2990,13,5,1,0,8,2,0,5
2022-01-06_17:15:34,2022-01-06_18:00:31,F32,11,24927,25072,172,24,0,2,53,8,2,56
2022-01-06_18:00:48,2022-01-07_02:01:42,F32,11,261835,263853,1905,226,6,10,770,161,57,788
2022-01-07_02:03:12,2022-01-07_02:38:30,F32,11,19056,19211,137,17,0,0,65,10,4,59
