State,Start Time,End Time,Factory,Line,Good Glove,Produced Glove,Empty Link,Cuff TR,No beading ,Palm TR,Unstripped,No glove ,Functional,Others
Running,2022-04-02_08:00:00,2022-04-02_09:00:00,F32,11,24689,25762,1585,97,4,8,320,38,3,603
Running,2022-04-02_09:00:00,2022-04-02_10:00:00,F32,11,25080,25908,1498,71,3,11,229,27,2,485
Running,2022-04-02_10:00:00,2022-04-02_11:00:00,F32,11,25207,25944,1453,80,3,13,150,41,1,449
Running,2022-04-02_11:00:00,2022-04-02_11:06:47,F32,11,2815,2897,165,9,1,1,11,3,0,57
Running,2022-04-02_12:21:31,2022-04-02_13:00:00,F32,11,16273,16755,818,37,2,5,92,39,2,305
Running,2022-04-02_13:00:00,2022-04-02_14:00:00,F32,11,25199,25982,1454,59,1,5,137,65,2,514
Running,2022-04-02_14:00:00,2022-04-02_15:00:00,F32,11,25281,26007,1415,70,0,14,131,29,3,479
Running,2022-04-02_15:00:00,2022-04-02_16:00:00,F32,11,25274,25956,1475,61,1,12,123,34,4,447
Running,2022-04-02_16:00:00,2022-04-02_17:00:00,F32,11,25150,25896,1530,58,1,21,118,53,2,493
Running,2022-04-02_17:00:00,2022-04-02_18:00:00,F32,11,25175,25907,1516,61,2,12,132,41,3,481
Running,2022-04-02_18:00:00,2022-04-02_19:00:00,F32,11,25071,25911,1522,61,0,10,156,84,1,528
Running,2022-04-02_19:00:00,2022-04-02_20:00:00,F32,11,25122,25876,1559,63,0,8,152,22,3,506
Running,2022-04-02_20:00:00,2022-04-02_21:00:00,F32,11,25243,25982,1425,70,1,9,162,29,3,465
Running,2022-04-02_21:00:00,2022-04-02_22:00:00,F32,11,25274,25999,1431,73,2,5,167,21,7,450
Running,2022-04-02_22:00:00,2022-04-02_23:00:00,F32,11,25412,26022,1377,68,1,7,155,8,3,368
Running,2022-04-02_23:00:00,2022-04-03_00:00:00,F32,11,25197,25914,1419,80,1,14,158,20,4,440
Running,2022-04-03_00:00:00,2022-04-03_01:00:00,F32,11,25118,25842,1473,79,2,5,196,36,6,400
Running,2022-04-03_01:00:00,2022-04-03_02:00:00,F32,11,25157,25858,1493,66,2,15,225,25,3,365
Running,2022-04-03_02:00:00,2022-04-03_03:00:00,F32,11,25281,25975,1393,78,3,13,182,59,3,356
Running,2022-04-03_03:00:00,2022-04-03_04:00:00,F32,11,25168,25840,1424,81,5,11,184,31,3,357
Running,2022-04-03_04:00:00,2022-04-03_05:00:00,F32,11,24974,25786,1422,94,6,17,153,24,5,513
